epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.235,0.83681,0.96312,1.1432,0.72646,0.56151,0.64388,0.35986,1.46771,1.17066,1.59258,0.000212094,0.000212094,0.000212094
43,181.373,0.83931,0.93702,1.12011,0.71684,0.5736,0.64067,0.36085,1.51955,1.23946,1.67979,0.000208559,0.000208559,0.000208559
44,185.454,0.85624,0.98119,1.14078,0.71389,0.59158,0.63887,0.35645,1.48152,1.20604,1.59735,0.000205025,0.000205025,0.000205025
45,189.549,0.84663,0.96757,1.11801,0.73687,0.57095,0.66723,0.36901,1.47033,1.17214,1.60475,0.000201491,0.000201491,0.000201491
46,193.642,0.8275,0.9296,1.11145,0.63774,0.64459,0.68736,0.38519,1.44621,1.14712,1.59923,0.000197957,0.000197957,0.000197957
47,197.761,0.81863,0.92878,1.11451,0.70466,0.63704,0.70728,0.38919,1.49686,1.1602,1.61542,0.000194422,0.000194422,0.000194422
48,201.836,0.87535,0.95828,1.16345,0.71657,0.6115,0.70697,0.3894,1.48031,1.16949,1.61146,0.000190888,0.000190888,0.000190888
49,205.925,0.84025,0.94288,1.12714,0.7481,0.59366,0.69907,0.38533,1.45444,1.18666,1.57473,0.000187354,0.000187354,0.000187354
50,210.096,0.84241,0.92055,1.09959,0.75881,0.55581,0.69278,0.38927,1.45992,1.17479,1.57233,0.000183819,0.000183819,0.000183819
51,214.165,0.77024,0.88687,1.09619,0.76571,0.54661,0.69886,0.38808,1.48647,1.20578,1.5791,0.000180285,0.000180285,0.000180285
52,218.283,0.78065,0.87029,1.0788,0.79918,0.53799,0.70013,0.38963,1.47157,1.19044,1.56658,0.000176751,0.000176751,0.000176751
53,222.417,0.77812,0.84251,1.09674,0.79892,0.54168,0.70831,0.3993,1.46531,1.19786,1.57256,0.000173216,0.000173216,0.000173216
54,226.59,0.77623,0.86724,1.08721,0.77671,0.55256,0.69388,0.38325,1.47556,1.20084,1.57452,0.000169682,0.000169682,0.000169682
55,230.703,0.77476,0.86191,1.09307,0.7025,0.63293,0.68165,0.38348,1.44931,1.17622,1.55525,0.000166148,0.000166148,0.000166148
56,234.772,0.75549,0.8333,1.07572,0.63304,0.61094,0.66583,0.37396,1.45957,1.15427,1.57662,0.000162613,0.000162613,0.000162613
57,238.838,0.76121,0.82347,1.07383,0.63485,0.60493,0.66046,0.36829,1.48555,1.13171,1.60079,0.000159079,0.000159079,0.000159079
58,243.04,0.78068,0.83684,1.0946,0.6397,0.63602,0.67522,0.37028,1.501,1.12396,1.60441,0.000155545,0.000155545,0.000155545
59,247.109,0.78238,0.84,1.0935,0.65288,0.64547,0.68116,0.37591,1.50429,1.13209,1.60554,0.000152011,0.000152011,0.000152011
60,251.172,0.76163,0.84097,1.08227,0.66485,0.6538,0.68564,0.3692,1.53737,1.16562,1.6398,0.000148476,0.000148476,0.000148476
